Nº de serie,Tipo,Clasificación,Tipo de ubicación,Descripción,Tipo de ubicación,Lugar asociado,Ubicación: Calle,Ubicación: Altura,Ubicación: Letra,Ubicación: Bis,Ubicación: Intersección,Ubicación: Coordenada X,Ubicación: Coordenada Y,Responsable,Dirección,Secretaría,Estado,ID,Fecha alta,Fecha baja,Archivo imagen,
128000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1280,,,,5432392.725,6355256.88625,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516680,22-07-2026,,,
126000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1260,,,,5432389.675,6355300.715416667,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516679,22-07-2026,,,
125000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1250,,,,5432388.15,6355322.630000001,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516678,22-07-2026,,,
125000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1250,,,,5432388.15,6355322.630000001,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516677,22-07-2026,,,
124000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1240,,,,5432386.625,6355344.544583334,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516676,22-07-2026,,,
122000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1220,,,,5432383.575,6355388.37375,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516675,22-07-2026,,,
121000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1210,,,,5432382.05,6355410.288333334,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516674,22-07-2026,,,
391000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,FONTANA LUIS,3910,,,,5431948.775833333,6362222.681666667,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516653,22-07-2026,,,
392000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,FONTANA LUIS,3920,,,,5431947.795624999,6362239.77125,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516652,22-07-2026,,,
394000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,FONTANA LUIS,3940,,,,5431945.835208333,6362273.950416666,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516651,22-07-2026,,,
396000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,FONTANA LUIS,3960,,,,5431943.874791667,6362308.129583334,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516650,22-07-2026,,,
398000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,FONTANA LUIS,3980,,,,5431941.914375001,6362342.30875,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516649,22-07-2026,,,
399000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,FONTANA LUIS,3990,,,,5431940.934166667,6362359.398333333,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516648,22-07-2026,,,
929000,Lámpara,Sodio - 150,En Columna - En Calle,CARAC:00,En Columna - En Calle,,LAFLOR LUIS,9290,,,,5428951.588333333,6355645.7725,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516641,22-07-2026,,,
928000,Lámpara,Sodio - 150,En Columna - En Calle,CARAC:00,En Columna - En Calle,,LAFLOR LUIS,9280,,,,5428974.5112499995,6355646.663125,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516640,22-07-2026,,,
926000,Lámpara,Sodio - 150,En Columna - En Calle,CARAC:00,En Columna - En Calle,,LAFLOR LUIS,9260,,,,5429020.357083333,6355648.444375,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516639,22-07-2026,,,
925000,Lámpara,Sodio - 150,En Columna - En Calle,CARAC:00,En Columna - En Calle,,LAFLOR LUIS,9250,,,,5429043.279999999,6355649.335,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516638,22-07-2026,,,
924000,Lámpara,Sodio - 150,En Columna - En Calle,CARAC:00,En Columna - En Calle,,LAFLOR LUIS,9240,,,,5429066.202916667,6355650.225625,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516637,22-07-2026,,,
922000,Lámpara,Sodio - 150,En Columna - En Calle,CARAC:00,En Columna - En Calle,,LAFLOR LUIS,9220,,,,5429112.04875,6355652.006875,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516636,22-07-2026,,,
921000,Lámpara,Sodio - 150,En Columna - En Calle,CARAC:00,En Columna - En Calle,,LAFLOR LUIS,9210,,,,5429134.971666667,6355652.8975,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516635,22-07-2026,,,
919000,Lámpara,Sodio - 150,En Columna - En Calle,CARAC:00,En Columna - En Calle,,LAFLOR LUIS,9190,,,,5429171.5625,6355654.344166667,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516634,22-07-2026,,,
918000,Lámpara,Sodio - 150,En Columna - En Calle,CARAC:00,En Columna - En Calle,,LAFLOR LUIS,9180,,,,5429194.378125,6355655.261875,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516633,22-07-2026,,,
916000,Lámpara,Sodio - 150,En Columna - En Calle,CARAC:00,En Columna - En Calle,,LAFLOR LUIS,9160,,,,5429240.009374999,6355657.097291667,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516632,22-07-2026,,,
915000,Lámpara,Sodio - 150,En Columna - En Calle,CARAC:00,En Columna - En Calle,,LAFLOR LUIS,9150,,,,5429262.824999999,6355658.015000001,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516631,22-07-2026,,,
914000,Lámpara,Sodio - 150,En Columna - En Calle,CARAC:00,En Columna - En Calle,,LAFLOR LUIS,9140,,,,5429285.640625,6355658.932708333,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516630,22-07-2026,,,
909104,Lámpara,Sodio - 150,En Columna - En Calle,CARAC:04,En Columna - En Calle,,LAFLOR LUIS,9091,B,,,5429384.350912544,6355659.391222107,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516629,22-07-2026,,,
908104,Lámpara,Sodio - 150,En Columna - En Calle,CARAC:04,En Columna - En Calle,,LAFLOR LUIS,9081,B,,,5429399.896366705,6355660.003308539,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516628,22-07-2026,,,
907104,Lámpara,Sodio - 150,En Columna - En Calle,CARAC:04,En Columna - En Calle,,LAFLOR LUIS,9071,B,,,5429415.441820867,6355660.615394972,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516627,22-07-2026,,,
912000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,LAFLOR LUIS,9120,,,,5429331.271875,6355660.768125,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516611,22-07-2026,,,
911000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,LAFLOR LUIS,9110,,,,5429354.087499999,6355661.685833333,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516610,22-07-2026,,,
