N.º Serie,Tipo,Material,Ubicacion,Carac,,Nombre Calle,Altura,Letra,Bis,,Coordenada X,Coordenada Y,Zona,,ID,Alta,Baja
277000,Transversal,Cable Acerado,En Calle,,,SALTA,2770,,,,5438342.77,6356194.98625,Alumbrado Zona 2,Dado de Baja,456596,27-12-2020,13-08-2026
275000,Transversal,Cable Acerado,En Calle,,,SALTA,2750,,,,5438369.32,6356189505,Alumbrado Zona 2,Dado de Baja,456595,27-12-2020,13-08-2026
273000,Transversal,Cable Acerado,En Calle,,,SALTA,2730,,,,5438395.87,6356184.02375,Alumbrado Zona 2,Dado de Baja,456594,27-12-2020,13-08-2026
271000,Transversal,Cable Acerado,En Calle,,,SALTA,2710,,,,5438422.42,6356178.5424999995,Alumbrado Zona 2,Dado de Baja,456593,27-12-2020,13-08-2026
269000,Transversal,Cable Acerado,En Calle,,,SALTA,2690,,,,5438443.606666666,6356174.169166666,Alumbrado Zona 2,Dado de Baja,456592,27-12-2020,13-08-2026
267000,Transversal,Cable Acerado,En Calle,,,SALTA,2670,,,,5438470.023333333,6356168.717083333,Alumbrado Zona 2,Dado de Baja,456591,27-12-2020,13-08-2026
265000,Transversal,Cable Acerado,En Calle,,,SALTA,2650,,,,5438496.4399999995,6356163265,Alumbrado Zona 2,Dado de Baja,456590,27-12-2020,13-08-2026
263000,Transversal,Cable Acerado,En Calle,,,SALTA,2630,,,,5438522.856666666,6356157.812916666,Alumbrado Zona 2,Dado de Baja,456589,27-12-2020,13-08-2026
261000,Transversal,Cable Acerado,En Calle,,,SALTA,2610,,,,5438549.273333333,6356152.360833333,Alumbrado Zona 2,Dado de Baja,456588,27-12-2020,13-08-2026
259000,Transversal,Cable Acerado,En Calle,,,SALTA,2590,,,,5438570.4575,6356147.988333333,Alumbrado Zona 2,Dado de Baja,456587,27-12-2020,13-08-2026
257000,Transversal,Cable Acerado,En Calle,,,SALTA,2570,,,,5438597.00125,6356142.509166666,Alumbrado Zona 2,Dado de Baja,456586,27-12-2020,13-08-2026
255000,Transversal,Cable Acerado,En Calle,,,SALTA,2550,,,,5438623545,6356137.029999999,Alumbrado Zona 2,Dado de Baja,456585,27-12-2020,13-08-2026
253000,Transversal,Cable Acerado,En Calle,,,SALTA,2530,,,,5438650.08875,6356131.550833333,Alumbrado Zona 2,Dado de Baja,456584,27-12-2020,13-08-2026
251000,Transversal,Cable Acerado,En Calle,,,SALTA,2510,,,,5438676.6325,6356126.071666666,Alumbrado Zona 2,Dado de Baja,456583,27-12-2020,13-08-2026
249000,Transversal,Cable Acerado,En Calle,,,SALTA,2490,,,,5438697835,6356121695,Alumbrado Zona 2,Dado de Baja,456582,27-12-2020,13-08-2026
247000,Transversal,Cable Acerado,En Calle,,,SALTA,2470,,,,5438724.297499999,6356116.2325,Alumbrado Zona 2,Dado de Baja,456581,27-12-2020,13-08-2026
245000,Transversal,Cable Acerado,En Calle,,,SALTA,2450,,,,5438750.76,6356110.77,Alumbrado Zona 2,Dado de Baja,456580,27-12-2020,13-08-2026
243000,Transversal,Cable Acerado,En Calle,,,SALTA,2430,,,,5438777.2225,6356105.3075,Alumbrado Zona 2,Dado de Baja,456579,27-12-2020,13-08-2026
241000,Transversal,Cable Acerado,En Calle,,,SALTA,2410,,,,5438803685,6356099845,Alumbrado Zona 2,Dado de Baja,456578,27-12-2020,13-08-2026
239000,Transversal,Cable Acerado,En Calle,,,SALTA,2390,,,,5438824.906666666,6356095.464166666,Alumbrado Zona 2,Dado de Baja,456577,27-12-2020,13-08-2026
237000,Transversal,Cable Acerado,En Calle,,,SALTA,2370,,,,5438851.498333333,6356089.974583333,Alumbrado Zona 2,Dado de Baja,456576,27-12-2020,13-08-2026
235000,Transversal,Cable Acerado,En Calle,,,SALTA,2350,,,,5438878.09,6356084.484999999,Alumbrado Zona 2,Dado de Baja,456575,27-12-2020,13-08-2026
233000,Transversal,Cable Acerado,En Calle,,,SALTA,2330,,,,5438904.681666667,6356078.995416666,Alumbrado Zona 2,Dado de Baja,456574,27-12-2020,13-08-2026
231000,Transversal,Cable Acerado,En Calle,,,SALTA,2310,,,,5438931.273333333,6356073.505833333,Alumbrado Zona 2,Dado de Baja,456573,27-12-2020,13-08-2026
229000,Transversal,Cable Acerado,En Calle,,,SALTA,2290,,,,5438951.4825,6356069.3341666665,Alumbrado Zona 2,Dado de Baja,456572,27-12-2020,13-08-2026
